NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
418,UTFL Is An Abbreviation Of,Full length ultrasonic testing,Ultra sonic Testing of welding line,Both a & b,None of these,A,API SPEC 5CT & 5A5
419,The Materials That Can Be Magnetized Or Strongly Attracted By Magnetic Field Is,Non Ferrous Magnetic,Ferrous Magnetic,Both a & b,None of above,B,API SPEC 5CT & 5A5
420,The Top Of The Thread Is Usually Known As,trough,Root,Crest,Both a and c,C,API SPEC 5CT & 5A5
421,API Is An Abbreviation Of:,Australian Petroleum Institute,American Piping Industry,American Petroleum Institute,Both b & c,C,API SPEC 5CT & 5A5
422,"An Irregularity In A Product Such As Laps, Seams, Pits & Laminations Is Known As",Discontinuity,Flaw,Imperfection,All of above ,D,API SPEC 5CT & 5A5
423,Number Of Complete Cycles Of Wave Motion Per Second Of Time Is Called,Frequency,Amplitude,Direct Current,Alternating current,A,API SPEC 5CT & 5A5
424,“SHOULD” Is Used To Indicate The Provision Is,Mandatory,Not Applicable,Recommended as a Good Practice,Both a & c,C,API SPEC 5CT & 5A5
425,The Permissible Deviation From The Specific Value Is,Threshold,Tolerance,Allowance,Both a & c,B,API SPEC 5CT & 5A5
426,The Minimum Length Of Tubing Smaller Than 2 7/8 Is,42,43,44,45,A,API SPEC 5CT & 5A5
427,The Minimum Length Of Casing Larger Than 13 3/8 Is,11,12,13,14,B,API SPEC 5CT & 5A5
428,If The Size Of Tubing Is Larger Than 2 7/8 Then The Diameter Of Drift Would Be,D-3/32,D-1/8,Both a & b,None of above,B,API SPEC 5CT & 5A5
429,Re-Measurement Of Drift Mandrel Shall Be After ______ Lengths.,250,500,750,1000,B,API SPEC 5CT & 5A5
430,The Ambient Visible Light During Black Light Intensity Shall Be:,10 Lux,20 Lux,30 Lux,100 Lux,B,API SPEC 5CT & 5A5
431,The Visible Light For An Inspection Shall Be:,2 feet Candles,10 feet Candles,50 feet Candles,70 feet Candles,C,API SPEC 5CT & 5A5
432,Calibration Of EMI Unit Shall Be Done After _____ Lengths.,30,40,50,80,C,API SPEC 5CT & 5A5
433,The Minimum Allowable Thickness Of A Material Being Inspected Within _____ Of The Specified Wall Thickness,0.05,0.01,0.015,0.02,B,API SPEC 5CT & 5A5
434,Permissible Depth Of Imperfection For Tubing Smaller Than 3 ½ Is:,0.01,0.02,0.03,0.04,C,API SPEC 5CT & 5A5
435,Permissible Depth Of Imperfection For Casing Larger Than 7 5/8 Is,0.03,0.035,0.05,None of above,B,API SPEC 5CT & 5A5
436,White Post Inspection Band Is Use To Indicate That The OCTG Is,Acceptable,Rejected,Junk,None of these,A,API SPEC 5CT & 5A5
437,Red Post Inspection Band Is Used To Identify That OCTG Is,Acceptable,Rejected,For Conditioning,Both B & c,B,API SPEC 5CT & 5A5
438,The Number Of Coil Turns And Current Required Are Imprecise But Should Not Be Less Than:,200 Ampere-Turns,500 Ampere-Turns,700 Ampere-Turns,1000 Ampere-Turns,B,API SPEC 5CT & 5A5
439,CPLG Is An Abbreviation Of,Unattached Couplings,Coupling of lifting gears,Coupling of Casing & tubing,Both b &c,A,API SPEC 5CT & 5A5
440,"The Characteristics Of A Surface To Change The Direction Of Propagating Acoustic Waves, The Return Of Sound Waves From The Surface Is Known As",Refraction,Diffraction,Both a & b,Reflection,D,API SPEC 5CT & 5A5
441,The Process Of Determining The Nature Of Imperfection Is Known As,Interpretation,Inspection,Observation,All of above,A,API SPEC 5CT & 5A5
442,OCTG With One End Threaded Externally & One End Threaded Internally Is Known As,Coupled Joint,Integral Joint,Assembled joint,None of Above,B,API SPEC 5CT & 5A5
443,A Method Of Magnetizing In Which Length Of OCTG Is Encircled By A Current Carrying Coil Is,Coil Method,Prod Method,Yoke Method,Both a & b,A,API SPEC 5CT & 5A5
444,The Load Per Unit Are Is Known As,Strain,Stress,Yield strenght,Both a & b,B,API SPEC 5CT & 5A5
445,A Magnet Or Body Which Retains A Strong Residual Magnetic Field Is,Residual Magnetism,Temporary Magnetism,Permanent Magnetism,All of above,C,API SPEC 5CT & 5A5
446,Threaded That Has Been Made Up With Hand Without Using Tong Is,Hand tight,Machine tight,Tong  tight,All of above,A,API SPEC 5CT & 5A5
447,"A U-Shape Piece Of Soft Magnetic Materials, Either Solid Or Laminated Around Which Is Would The Coil Carrying The Magnetizing Current Is",Coil,Prod,Yoke,None of these,C,API SPEC 5CT & 5A5
448,The Intensity Of Black Light Is,500 watts/cm2,1000 watts/cm2,1500 watts/cm2,2000 watts/cm2,B,API SPEC 5CT & 5A5
449,A Unit Of Electrical Current Is,Ampere,Volt,Watt,Ohm,A,API SPEC 5CT & 5A5
450,The Paint Band Identification Of OCTG Class Imperfection In Accordance With Appropriate Specification Is,Color band ,Color Code,Both a & b,None of these,B,API SPEC 5CT & 5A5
451,An Optical Instrument With An Illuminating Lamp For Inspecting The Inside Surface Of OCTG Is Known As,Telescope,Stethoscope,Borescope,X-rays,C,API SPEC 5CT & 5A5
452,Gauss Meter Is Use To Detect,Magnetic Field ,Current,Internal Imperfections,None of these,A,API SPEC 5CT & 5A5
453,A Length Of A Pipe Which Will Not Pass A Specific Diameter Drift With Reasonable Pressure Is,Drifting,Non-Drifting,Bent Drift,Both b & c,B,API SPEC 5CT & 5A5
454,What Would Be The Minimum Lamp Watt Of Borescope Is The Inside Diameter Of OCTG Is Over 5 Inches ,100,150,200,250,D,API SPEC 5CT & 5A5
455,Hardness Tester Shall Be Checked After Every ____ Readings,50,100,150,200,B,API SPEC 5CT & 5A5
456,Number & Recording Procedure Is Included In:,Pre inspection procedure,Intra inspection procedure,Post inspection procedure,None of above,A,API RP 7G-2
457,The Color Band For The Scrap Drill Pipe Shall Be Marked With:,One yellow band,One Red band,One Blue Band,One White band,B,API RP 7G-2
458,DC- Energized Yoke Shall Be Capable Of Lifting ______ Lbs. Weight.,20lbs,30lbs,40lbs,50lbs,C,API RP 7G-2
459,The Minimum Intensity Of Black Light Shall Be:,500 microwatts/Cm2,1000 microwatts/Cm2,1200 microwatts/Cm2,1800 microwatts/Cm2 ,B,API RP 7G-2
460,Pipe Shall Not Be Crooked More Than ____ Inches In Entire Length.,0.5 inches,2 inches,3 inches,5 inches,C,API RP 7G-2
461,During The Process Of OD Gauging The Pipe Shall Be Rolled At At Least 180 Degrees Every ____ Feet Of Gauging. ,2 feet,2.5 feet,3 feet,3.5 feet,B,API RP 7G-2
462,Bsrs Acceptable Value For BHA Larger Than 8 Inches Is From ____ To ____:,"1,90 to 2,50","2,25 to 2,75","2,50 to 3,20","2,70 to 3,50",C,API RP 7G-2
463,Surface Coating Of Paint Band Shall Be Smooth & Shall Have A Thickness Equal To Or Less Than _____ Inches.,0.001 in,0.002 in,0.003 in,0.004 in,B,API RP 7G-2
464,The Hole Size Shall Be _____________Inch In Diameter,"1/16 INCH, ±1/16","1/16 INCH, ±1/64","1/16 INCH, ±1/8","1/16 INCH, ±1/32",B,DS-1
465,The Equipment Shall Be Adjusted To Produce A Common Reference Amplitude (Minimum -------) From Each Detector When A Hole   Is Scanned.,10MM,20MM,30MM,,A,DS-1
466,Signal To Noise Ratio Shall Be A Minimum Of ___ To ___.,1 to 3,2 to 1,3 to 1,4 to 1,C,DS-1
467,"After Field Calibration Adjustments, The Gage Shall Measure Both Thicknesses On The Standard To _____ Inches Accuracy",+/- 0.1”,+/- 0.01”,+/- 0.001”,+/- 0.0001”,C,DS-1
468,Each Signal Channel Must Produce Indications Of At Least 80% Of The Reference Amplitude Established,50%,60%,70%,80%,D,DS-1
469,Retention Of Strip Charts And/Or Electronic Data From All Inspection And Standardization Runs Shall Be Maintained By The Inspection Company For A Minimum Period Of ____ Year,4 Year,3 Year,2 Year,1 Year,D,DS-1
470,The Detectors Shall Be Sized For The Pipe Being Inspected And Shall Ride On The Surface Of The Pipe With Any Visible Gap,TRUE,FALSE,,,B,DS-1
471,Areas In Which Flux Leakage Indications Exceed Threshold But No Imperfection Can Be Found Shall Be Re-Scanned. Repeatability Of Such An Indication Shall Be Cause For Rejection.,TRUE,FALSE,,,A,DS-1
472,These Records Shall Not Be Available For Review To The Customer Or Its Designated Representative Upon Request.,TRUE,FALSE,,,B,DS-1
473,An Ac Yoke Which Has Demonstrated The Capacity To Lift A _______ Weight Within The Last Six Months.,5 LBS,10 LBS,15 LBS,20 LB,B,DS-1
474,Which Particle Medium Baths Are Acceptable ,Water based medium,oil based medium,water-oil based medium,Non of the above,A,DS-1
475,"Outside Surface Of The Box Tool Joints From Shoulder To The Intersection Of The Tool Joint Od And The ______ Degree Taper Shall Be Cleaned To A Degree That The Metal Surfaces Are Visible. For Dry Powder Inspection, The Surfaces Shall Also Be ______ To The Touch.","20 Degree, Dry","18 Degree, Dry","18 Degree, Wet","20 Degree, Wet",B,DS-1
476,How Shall We Number The Pipes To Be Inspected,Insequential,Sequentialy,Random,Both B and C,B,DS-1
477,The Magnetic Field Generated Using The Ac Yoke Shall Be Applied _________To The   Tube And Tool Joint Longitudinal Axis And It Shall Be ____________ Activated During  Particle Application,"Transverse, Continously","Transverse, Discontinously","Longitudinal,Continously ",,A,DS-1
478,Inspection Shall Be Performed Using Either The _______ Magnetic Particle Technique Or The _______ Fluorescent Magnetic Particle Technique.,"Wet,Dry","Dry,Wet",None of the above,,B,DS-1
479,"For Wet Fluorescent Magnetic Particle Inspection: Particle Concentration     Shall Range From ___ To ___ Ml/100 Ml When Measured Using An Astm 100 Ml Centrifuge Tube, With A Minimum Settling Time Of 30 Minutes In Water-Based Carriers Or 1 Hour In Oil-Based Carriers. ",0.1 to 0.3,0.1 to 0.5,0.1 to 0.4,1 to 4,C,DS-1
480,"Blacklight Intensity Shall Be Measured With An Ultraviolet Light Meter Each Time The Light Is Turned On, After Every 8 Hours Of Operation And At The Completion Of The Job.  The Minimum Intensity Shall Be _____ Microwatts/Cm2 At Fifteen Inches From The Light Source Or At The Distance To Be Used For Inspection, Whichever Is Greater.",10000,1000,100,10,B,DS-1
481,Grinding To Remove Cracks Is Permitted.,TRUE,FALSE,,,B,DS-1
482,"With The Customer's Approval, The Surfaces May Be Inspected Using A Residual Circular Magnetic Field,",TRUE,Flase,,,A,DS-1
483,What Does “Ds” Stand For In The Standard Ds-1,Drill Schedule,Double Shoulder,Drillpipe Specification,Drill Stem,D,DS-1
484,In Which Table Of Ds-1 Volume 3 Can You Find The Inspection Frequencies,Table 2.1,Table 2.2,Table 2.4,Table 2.3,C,DS-1
485,Id Pitting Shall Not Exceed _____ Inch In Depthas Measured Or Visually Estimated For Premium Class,1/32”,1/64”,1/8”,1/16”  ,C,DS-1
486,Tubes with coating reference condition 3 or 4 shall be ,accepted if customer requires so,rejected unless waived by the customer,both of the above,None of the above,C,DS-1
487,Minimum illumination level at the inspection surface shall be ,40 foot candle,50 foot candle,60 foot candle,None of the above,B,DS-1
488,light intensity level at the inspection surface must be verified,at the start of each inspection job,when light fixtures change positions or intensity,change in relative position of the inspected surface with respect to the light fixture,all of the above,D,DS-1
489,Standard DS-1 volume 3 addresses the inspection of drill string equipment consisting of,single piece multiple components,single piece with no components,components with single piece,single piece single component,B,DS-1
490,Standard DS-1 volume 4 addresses drilling specialty tools which are defined as a device that,can be run in a drill string or casing string and perform some function,is assembled from two or more components,Both A and B,None of these,C,DS-1
491,Any condition interfering with detector ride on the pipe shall be __________ ,Connected,Corrected,Accepted,None of these,B,DS-1
492,Shop repair of some tool joints and drill collars containing cracks may possible.,If the unaffected area of the tool joint body or drill collar permits.,If the affected area of the tool joint body or drill collar permits,Both of the above are correct.,None of the above is correct.,A,API RP 7G-2
493,Tube body conditions will be classified on the basis of?,Total wall thickness measurement obtained.,The highest wall thickness measurement obtained.,The lowest wall thickness obtained.,All of the above are correct.,C,API RP 7G-2
494,Used drill pipes should be classified according to the procedure of?,Table 20 and as illustrated in figure 83,Table 24 and as illustrated in figure 84,Table 23 and as illustrated in figure 82,Table 21 and as illustrated in figure 84,B,API RP 7G-2
495,What does it indicates by the last symbol at the base of the pin?,Tool joint manufacturer’s symbol,Month of welded,Year of welded,Drill pipe grade,D,API RP 7G-2
496,What does it indicates by the second symbol marked at the base of the pin?,Company symbol,Month of welded,Year of welded,Drill pipe grade,B,API RP 7G-2
497,What does it indicates by the third symbol marked at the base of the pin?,Company symbol,Year of welded,Year of welded,Month welded,B,API RP 7G-2
498,What does it indicates by the FIFTH symbol marked at the base of the pin?,Month welded,Year of welded,Year of welded,Drill pipe grade,D,API RP 7G-2
499,On pin neck punch mark; what is indicated by letter “S”,248 grade,135 grade,125 grade,236 grade,B,API RP 7G-2
500,In wall thickness of drill pipe body; for class 2: What is the acceptable percentage of wall thickness?,50%,60%,70%,80%,C,API RP 7G-2
501,"In wall thickness of drill pipe body, for premium class, what is the acceptable Percentage of wall thickness?",50%,60%,70%,80%,D,API RP 7G-2
502,In dent/mash on the body of drill pipe: what is the acceptable limitation for premium Class?,5%of OD.,4% of OD.,3%of OD.,2%of OD.,C,API RP 7G-2
503,On slip area: mechanical damage limitation for drill pipe for premium class is.,6%.,7%.,8%.,Depth not to exceed 10% of the average adjacent wall.,D,API RP 7G-2
504,On slip area: mechanical damage limitation for drill pipe for class 2 is.,6%.,7%.,8%.,Depth not to exceed 20% of the average adjacent wall.,D,API RP 7G-2
505,What should be the minimum bevel diameter of tool joint?,1/8”,1/16”,1/32”,1/64”,C,API RP 7G-2
506,In visual thread inspection: Thread profile is checked to detect?,Insufficient torque,Lapped treads,Stretching,All of the above are correct,D,API RP 7G-2
507,Threads are visually inspected to detect?,Handling damage,Corrosion damage,Galling,All of the above,D,API RP 7G-2
508,Box swell and/or pin stretch is a result of?,Over torqueing,Under torqueing,Heavy loading,None of the above.,A,API RP 7G-2
509,"By which instrument, pin stretch can be measured?",Vernier caliper,Micrometer,Lead gauge,Dial gauge,C,API RP 7G-2
510,On used tool joints: it is recommended the pins having stretch which exceeds -----------Should be recut.,0.006 mm in 2 inch,0.006 inch in 2 inch,0.006 inch in 2 feet,0.006 inch in 2 cm,B,API RP 7G-2
